SID,MID,ACAD_YEAR
1000,101,2014-2015
1000,102,2014-2015
1001,101,2014-2015
1001,103,2014-2015
1001,104,2014-2015
1002,104,2014-2015
1000,105,2015-2016
1000,106,2015-2016
1001,107,2015-2016
1001,108,2015-2016
1002,103,2015-2016
1002,105,2015-2016
1003,110,2015-2016
1003,111,2015-2016
1004,103,2015-2016
1004,105,2015-2016
1004,110,2015-2016
1004,115,2015-2016
1005,117,2016-2017
1006,117,2017-2018
1007,117,2017-2018
1005,116,2018-2019
1007,116,2018-2019
1007,116,2018-2019
1007,115,2018-2019
1007,114,2018-2019
